78,,"Andrew Robertson Liverpool, 25, D(L),M(L)",2,180,-,-,-,-,1.5,83.0,1,-,7.05
79,,"Divock Origi Liverpool, 24, AM(LR),FW",1(1),85,1,-,-,-,0.5,58.3,1,-,7.04
80,,"Fabian Schär Newcastle United, 27, D(C)",2,180,-,-,-,-,1,73.9,1.5,-,7.04
81,,"John Egan Sheffield United, 26, D(C)",2,180,-,-,-,-,-,82.6,3.5,-,7.04
82,,"Leandro Trossard Brighton, 24, AM(L)",1,85,1,-,-,-,4,69.2,-,-,7.03
83,,"Lucas Digne Everton, 26, D(L)",2,163,-,1,-,-,2,66.7,1.5,-,7.03
84,,"Nicolás Otamendi Manchester City, 31, D(C)",1,90,-,-,-,-,2,93.6,6,-,7.02
85,,"Pierre-Emerick Aubameyang Arsenal, 30, M(LR),FW",2,180,2,-,1,-,3.5,61.5,0.5,-,7.01
86,,"Tom Trybull Norwich, 26, M(C)",2,157,-,-,-,-,1,92.4,3.5,-,7.01
87,,"Craig Dawson Watford, 29, D(CR)",2,180,-,-,-,-,1.5,77.1,3,-,7.01
88,,"Jack Grealish Aston Villa, 23, AM(CL)",2,180,-,1,-,-,1,85.2,0.5,-,7.01
89,,"Andros Townsend Crystal Palace, 28, AM(LR),FW",2,160,-,-,-,-,1,75.6,-,-,7.0
90,,"Enda Stevens Sheffield United, 29, D(L),M(L)",2,180,-,-,-,-,0.5,81.6,0.5,-,7.0
91,,"Fabinho Liverpool, 25, D(R),DMC",1(1),106,-,-,-,-,0.5,76.0,1,-,7.0
92,,"Kasper Schmeichel Leicester, 32, GK",2,180,-,-,-,-,-,78.6,0.5,-,7.0
93,,"Oleksandr Zinchenko Manchester City, 22, D(L),M(CR)",2,180,-,-,-,-,1.5,91.3,1.5,-,7.0
94,,"Séamus Coleman Everton, 30, D(R),M(R)",2,180,-,-,1,-,1,70.1,1,-,6.99
95,,"Nathan Aké Bournemouth, 24, D(CL),DMC",2,180,-,-,1,-,1.5,88.2,2,-,6.99
96,,"Philip Billing Bournemouth, 23, DMC",2,136,-,-,1,-,1.5,80.6,1,-,6.99
97,,"Rúben Neves Wolverhampton Wanderers, 22, DMC",2,171,1,-,2,-,0.5,69.9,1.5,-,6.99
98,,"Joshua King Bournemouth, 27, AM(CLR),FW",2,180,1,-,-,-,1.5,60.8,4.5,-,6.98
99,,"Chris Basham Sheffield United, 31, D(CR),M(CR)",2,172,-,-,-,-,-,78.6,2.5,-,6.97
100,,"Todd Cantwell Norwich, 21, AM(L)",2,180,-,2,-,-,0.5,84.1,-,-,6.97
101,,"Angelo Ogbonna West Ham, 31, D(C)",1,90,-,-,-,-,-,81.3,-,-,6.97
102,,"Jamal Lewis Norwich, 21, D(L),M(L)",2,180,-,-,-,-,-,81.7,-,-,6.97
103,,"Kyle Walker-Peters Tottenham, 22, D(R)",2,180,-,-,-,-,0.5,87.1,1,-,6.96
104,,"Steve Cook Bournemouth, 28, D(C)",2,180,-,-,-,-,0.5,79.3,4,-,6.96
105,,"Granit Xhaka Arsenal, 26, M(C)",1,90,-,-,1,-,2,84.5,2,-,6.95
106,,"Jonjo Shelvey Newcastle United, 27, M(C)",2,144,1,-,-,-,1.5,80.8,-,-,6.95
107,,"James Tarkowski Burnley, 26, D(C)",2,180,-,-,-,-,1.5,62.1,2,-,6.95
108,,"Mat Ryan Brighton, 27, GK",2,180,-,-,-,-,-,73.7,-,-,6.95
109,,"Billy Sharp Sheffield United, 33, FW",0(1),8,1,-,-,-,1,66.7,1,-,6.94
110,,"Adama Traoré Wolverhampton Wanderers, 23, AM(R),FW",0(1),45,-,-,-,-,1,81.3,-,-,6.93
111,,"Vicente Guaita Crystal Palace, 32, GK",2,180,-,-,-,-,-,60.7,1.5,-,6.93
112,,"Jack Cork Burnley, 30, DMC",2,180,-,-,-,-,1,73.2,2.5,-,6.91
113,,"Sergio Agüero Manchester City, 31, AM(CL),FW",1(1),87,2,-,-,-,2,84.6,-,-,6.9
114,,"Trent Alexander-Arnold Liverpool, 20, D(R),M(R)",2,180,-,1,1,-,1,61.4,1,-,6.9
